                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.53356,                 7.0475,                      0,                0.81109,                0.91636,                0.80959,                0.47246,                0.62967,                0.53736,                0.11776,                0.05983,                 0.0281,                0.00365,                0.64317,                 6.6671,                      0,                 1.1847,                0.94705,              0.0003962,              0.0003962,              0.0003962
                     84,                0.54488,                 7.2926,                      0,                0.83333,                0.93192,                0.80086,                0.48718,                0.64083,                0.54324,                0.13058,                0.05128,                0.02423,                0.00343,                0.65154,                 6.6141,                      0,                 1.1937,                 0.9546,              0.0003764,              0.0003764,              0.0003764
                     85,                0.56233,                  7.164,                      0,                0.80649,                0.93646,                0.79426,                0.47863,                 0.6214,                0.53242,                0.12044,                0.05128,                0.02465,                0.00417,                0.63797,                 6.5039,                      0,                 1.2009,                0.94526,              0.0003566,              0.0003566,              0.0003566
                     86,                0.53073,                 7.1079,                      0,                0.80543,                0.92543,                0.81032,                0.47469,                0.62948,                0.54021,                0.17558,                0.07692,                0.03885,                0.00511,                0.63707,                 6.4926,                      0,                 1.1878,                0.94439,              0.0003368,              0.0003368,              0.0003368
                     87,                0.54976,                 7.1368,                      0,                0.78855,                0.94347,                0.80269,                0.48679,                 0.6313,                0.53662,                0.14517,                0.06838,                 0.0322,                0.00471,                0.64244,                 6.5284,                      0,                 1.1943,                0.94297,               0.000317,               0.000317,               0.000317
                     88,                0.52463,                 7.0647,                      0,                 0.7885,                0.93059,                0.83354,                0.46154,                0.61008,                0.51682,                0.16242,                0.07692,                0.03881,                0.00517,                0.62643,                 6.4944,                      0,                 1.2431,                0.93984,              0.0002972,              0.0002972,              0.0002972
                     89,                0.55269,                 7.0483,                      0,                0.84731,                 0.9274,                0.80916,                0.47863,                0.61447,                0.51975,                0.08949,                0.04274,                0.01538,                0.00297,                0.62514,                 6.4289,                      0,                 1.2215,                0.94305,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.5114,                 6.9279,                      0,                0.77912,                0.90905,                0.80197,                0.48718,                0.62127,                 0.5311,                 0.1609,                0.06838,                0.04074,                0.00502,                0.62672,                 6.3781,                      0,                  1.203,                0.93557,              0.0002576,              0.0002576,              0.0002576
                     91,                0.45961,                 5.8375,                      0,                0.79401,                0.86235,                0.79202,                0.47863,                0.62152,                0.53343,                0.08886,                0.04274,                0.01557,                0.00347,                0.62965,                 6.3679,                      0,                 1.2041,                0.93927,              0.0002378,              0.0002378,              0.0002378
                     92,                0.46923,                 5.7852,                      0,                0.76607,                0.87149,                0.80426,                0.47863,                 0.6057,                0.52123,                0.14436,                0.07692,                0.03327,                0.00488,                0.62423,                 6.3692,                      0,                 1.1932,                0.93766,               0.000218,               0.000218,               0.000218
                     93,                0.44991,                 5.7191,                      0,                0.74399,                0.85265,                 0.8226,                0.47561,                0.61931,                0.53425,                0.17035,                0.08547,                0.03177,                0.00428,                0.61909,                 6.4334,                      0,                 1.1547,                0.93111,              0.0001982,              0.0001982,              0.0001982
